"Program Area","Project County Code","Project Number","Project Name","Project Street","Project Address Line2","Project City","Project State","Project Zip","Billing Year","Amount Billed","Amount Paid","Pending Amount Due"
"Condominium Project","60","PR1S001342","VILLA DEL VERDE","250 EAST ROYAL PALM ROAD","","BOCA RATON","FL","334325001","2026","36","36","0"
"Condominium Project","60","PR1S001342","VILLA DEL VERDE","250 EAST ROYAL PALM ROAD","","BOCA RATON","FL","334325001","2024","36","36","0"
"Condominium Project","60","PR1S001342","VILLA DEL VERDE","250 EAST ROYAL PALM ROAD","","BOCA RATON","FL","334325001","2023","36","39.6","0"
"Condominium Project","60","PR1S001342","VILLA DEL VERDE","250 EAST ROYAL PALM ROAD","","BOCA RATON","FL","334325001","2022","36","36","0"
"Condominium Project","68","PR1P023058","VILLA DI LANCIA, A CONDO","GULF OF MEXICO DRIVE","","LONGBOAT KEY","FL","34228","2022","152","152","0"
"Condominium Project","68","PR1P023058","VILLA DI LANCIA, A CONDO","GULF OF MEXICO DRIVE","","LONGBOAT KEY","FL","34228","2023","152","152","0"
"Condominium Project","68","PR1P023058","VILLA DI LANCIA, A CONDO","GULF OF MEXICO DRIVE","","LONGBOAT KEY","FL","34228","2024","152","152","0"
"Condominium Project","68","PR1P023058","VILLA DI LANCIA, A CONDO","GULF OF MEXICO DRIVE","","LONGBOAT KEY","FL","34228","2026","152","152","0"
"Condominium Project","68","PR1P023058","VILLA DI LANCIA, A CONDO","GULF OF MEXICO DRIVE","","LONGBOAT KEY","FL","34228","2025","152","152","0"
"Condominium Project","60","PR1V010103","VILLA DI LUCERNE CONDO","616 LUCERNE AVENUE","","LAKE WORTH","FL","334603841","2024","64","0","85.18"
"Condominium Project","60","PR1V010103","VILLA DI LUCERNE CONDO","616 LUCERNE AVENUE","","LAKE WORTH","FL","334603841","2022","64","0","70.4"
"Condominium Project","60","PR1V010103","VILLA DI LUCERNE CONDO","616 LUCERNE AVENUE","","LAKE WORTH","FL","334603841","2025","64","0","93.7"
"Condominium Project","60","PR1V010103","VILLA DI LUCERNE CONDO","616 LUCERNE AVENUE","","LAKE WORTH","FL","334603841","2026","","",""
"Condominium Project","60","PR1V010103","VILLA DI LUCERNE CONDO","616 LUCERNE AVENUE","","LAKE WORTH","FL","334603841","2023","64","0","77.44"
"Condominium Project","23","PR1S025352","VILLA DI MARE, A CONDO","5801 COLLINS AVENUE","","MIAMI BEACH","FL","33140","2024","48","48","0"
"Condominium Project","23","PR1S025352","VILLA DI MARE, A CONDO","5801 COLLINS AVENUE","","MIAMI BEACH","FL","33140","2026","48","48","0"
"Condominium Project","23","PR1S025352","VILLA DI MARE, A CONDO","5801 COLLINS AVENUE","","MIAMI BEACH","FL","33140","2025","48","48","0"
"Condominium Project","23","PR1S025352","VILLA DI MARE, A CONDO","5801 COLLINS AVENUE","","MIAMI BEACH","FL","33140","2022","48","48","0"
"Condominium Project","23","PR1S025352","VILLA DI MARE, A CONDO","5801 COLLINS AVENUE","","MIAMI BEACH","FL","33140","2023","48","52.8","0"
"Condominium Project","56","PR69523","VILLA DI MARE, A CONDO","240 BROOKS ST","","FORT WALTON BEACH","FL","32548","2022","100","100","0"
"Condominium Project","56","PR69523","VILLA DI MARE, A CONDO","240 BROOKS ST","","FORT WALTON BEACH","FL","32548","2023","100","100","0"
"Condominium Project","56","PR69523","VILLA DI MARE, A CONDO","240 BROOKS ST","","FORT WALTON BEACH","FL","32548","2024","100","100","0"
"Condominium Project","56","PR69523","VILLA DI MARE, A CONDO","240 BROOKS ST","","FORT WALTON BEACH","FL","32548","2025","100","100","0"
"Condominium Project","56","PR69523","VILLA DI MARE, A CONDO","240 BROOKS ST","","FORT WALTON BEACH","FL","32548","2026","100","100","0"
"Condominium Project","45","PR1S003223","VILLA DORA","601 MCDONALD STREET","","MOUNT DORA","FL","327574876","2025","240","240","0"
"Condominium Project","45","PR1S003223","VILLA DORA","601 MCDONALD STREET","","MOUNT DORA","FL","327574876","2026","240","240","0"
"Condominium Project","45","PR1S003223","VILLA DORA","601 MCDONALD STREET","","MOUNT DORA","FL","327574876","2024","240","240","0"
"Condominium Project","45","PR1S003223","VILLA DORA","601 MCDONALD STREET","","MOUNT DORA","FL","327574876","2023","240","240","0"
"Condominium Project","45","PR1S003223","VILLA DORA","601 MCDONALD STREET","","MOUNT DORA","FL","327574876","2022","240","240","0"
"Condominium Project","23","PR1M017562","VILLA DORADA CONDO 1-6","20250 WEST COUNTRY CLUB DRIVE","","MIAMI","FL","331801608","2026","144","302.4","-158.4"
"Condominium Project","23","PR1M017562","VILLA DORADA CONDO 1-6","20250 WEST COUNTRY CLUB DRIVE","","MIAMI","FL","331801608","2022","144","158.4","0"
"Condominium Project","23","PR1M017562","VILLA DORADA CONDO 1-6","20250 WEST COUNTRY CLUB DRIVE","","MIAMI","FL","331801608","2023","144","158.4","0"
"Condominium Project","23","PR1M017562","VILLA DORADA CONDO 1-6","20250 WEST COUNTRY CLUB DRIVE","","MIAMI","FL","331801608","2025","144","0","158.4"
"Condominium Project","23","PR1M017562","VILLA DORADA CONDO 1-6","20250 WEST COUNTRY CLUB DRIVE","","MIAMI","FL","331801608","2024","144","144","0"
"Condominium Project","23","PR1M013069","VILLA DORADA CONDO 2-9","20401 NE 30TH AVE","","NORTH MIAMI BEACH","FL","331801522","2025","1296","0","1425.6"
"Condominium Project","23","PR1M013069","VILLA DORADA CONDO 2-9","20401 NE 30TH AVE","","NORTH MIAMI BEACH","FL","331801522","2024","1296","1296","0"
"Condominium Project","23","PR1M013069","VILLA DORADA CONDO 2-9","20401 NE 30TH AVE","","NORTH MIAMI BEACH","FL","331801522","2023","1296","1425.6","0"
"Condominium Project","23","PR1M013069","VILLA DORADA CONDO 2-9","20401 NE 30TH AVE","","NORTH MIAMI BEACH","FL","331801522","2022","1296","1425.6","0"
"Condominium Project","23","PR1M013069","VILLA DORADA CONDO 2-9","20401 NE 30TH AVE","","NORTH MIAMI BEACH","FL","331801522","2026","1296","2721.6","-1425.6"
"Condominium Project","23","PR1P024632","VILLA DORAL CONDO NO. 1","NW 47 ST BTWN NW 114 & 117 AVE","","MIAMI","FL","33182","2022","128","128","0"
"Condominium Project","23","PR1P024632","VILLA DORAL CONDO NO. 1","NW 47 ST BTWN NW 114 & 117 AVE","","MIAMI","FL","33182","2023","128","128","0"
"Condominium Project","23","PR1P024632","VILLA DORAL CONDO NO. 1","NW 47 ST BTWN NW 114 & 117 AVE","","MIAMI","FL","33182","2024","128","128","0"
"Condominium Project","23","PR1P024632","VILLA DORAL CONDO NO. 1","NW 47 ST BTWN NW 114 & 117 AVE","","MIAMI","FL","33182","2026","128","128","0"
"Condominium Project","23","PR1P024632","VILLA DORAL CONDO NO. 1","NW 47 ST BTWN NW 114 & 117 AVE","","MIAMI","FL","33182","2025","128","128","0"
"Condominium Project","23","PR1P024633","VILLA DORAL CONDO NO. 2","NW 47 ST BTWN NW 114 & 117 AVE","","MIAMI","FL","33182","2026","136","136","0"
"Condominium Project","23","PR1P024633","VILLA DORAL CONDO NO. 2","NW 47 ST BTWN NW 114 & 117 AVE","","MIAMI","FL","33182","2024","136","136","0"
"Condominium Project","23","PR1P024633","VILLA DORAL CONDO NO. 2","NW 47 ST BTWN NW 114 & 117 AVE","","MIAMI","FL","33182","2025","136","136","0"
"Condominium Project","23","PR1P024633","VILLA DORAL CONDO NO. 2","NW 47 ST BTWN NW 114 & 117 AVE","","MIAMI","FL","33182","2023","136","136","0"
"Condominium Project","23","PR1P024633","VILLA DORAL CONDO NO. 2","NW 47 ST BTWN NW 114 & 117 AVE","","MIAMI","FL","33182","2022","136","136","0"
"Condominium Project","23","PR1P024736","VILLA DORAL CONDO NO. 3","114TH AND NW 117TH AVENUE","","MIAMI","FL","33182","2022","96","96","0"
"Condominium Project","23","PR1P024736","VILLA DORAL CONDO NO. 3","114TH AND NW 117TH AVENUE","","MIAMI","FL","33182","2024","96","96","0"
"Condominium Project","23","PR1P024736","VILLA DORAL CONDO NO. 3","114TH AND NW 117TH AVENUE","","MIAMI","FL","33182","2023","96","96","0"
"Condominium Project","23","PR1P024736","VILLA DORAL CONDO NO. 3","114TH AND NW 117TH AVENUE","","MIAMI","FL","33182","2026","96","96","0"
"Condominium Project","23","PR1P024736","VILLA DORAL CONDO NO. 3","114TH AND NW 117TH AVENUE","","MIAMI","FL","33182","2025","96","96","0"
"Condominium Project","23","PR1P024737","VILLA DORAL CONDO NO. 4","NW 114TH AND 117TH AVENUE","","MIAMI","FL","33182","2025","128","128","0"
"Condominium Project","23","PR1P024737","VILLA DORAL CONDO NO. 4","NW 114TH AND 117TH AVENUE","","MIAMI","FL","33182","2026","128","128","0"
"Condominium Project","23","PR1P024737","VILLA DORAL CONDO NO. 4","NW 114TH AND 117TH AVENUE","","MIAMI","FL","33182","2024","128","128","0"
"Condominium Project","23","PR1P024737","VILLA DORAL CONDO NO. 4","NW 114TH AND 117TH AVENUE","","MIAMI","FL","33182","2022","128","128","0"
"Condominium Project","23","PR1P024737","VILLA DORAL CONDO NO. 4","NW 114TH AND 117TH AVENUE","","MIAMI","FL","33182","2023","128","128","0"
"Condominium Project","23","PR1P024738","VILLA DORAL CONDO NO. 5","NW 114TH AND 117TH AVENUE","","MIAMI","FL","33182","2023","160","160","0"
"Condominium Project","23","PR1P024738","VILLA DORAL CONDO NO. 5","NW 114TH AND 117TH AVENUE","","MIAMI","FL","33182","2022","160","160","0"
"Condominium Project","23","PR1P024738","VILLA DORAL CONDO NO. 5","NW 114TH AND 117TH AVENUE","","MIAMI","FL","33182","2024","160","160","0"
"Condominium Project","23","PR1P024738","VILLA DORAL CONDO NO. 5","NW 114TH AND 117TH AVENUE","","MIAMI","FL","33182","2026","160","160","0"
"Condominium Project","23","PR1P024738","VILLA DORAL CONDO NO. 5","NW 114TH AND 117TH AVENUE","","MIAMI","FL","33182","2025","160","160","0"
"Condominium Project","51","PR1S018941","VILLA DOS PALMAS CONDO","771-785 ST. JUDES DRIVE","","LONGBOAT KEY","FL","33548","2024","32","32","0"
"Condominium Project","51","PR1S018941","VILLA DOS PALMAS CONDO","771-785 ST. JUDES DRIVE","","LONGBOAT KEY","FL","33548","2022","32","32","0"
"Condominium Project","51","PR1S018941","VILLA DOS PALMAS CONDO","771-785 ST. JUDES DRIVE","","LONGBOAT KEY","FL","33548","2023","32","32","0"
"Condominium Project","51","PR1S018941","VILLA DOS PALMAS CONDO","771-785 ST. JUDES DRIVE","","LONGBOAT KEY","FL","33548","2026","32","32","0"
"Condominium Project","51","PR1S018941","VILLA DOS PALMAS CONDO","771-785 ST. JUDES DRIVE","","LONGBOAT KEY","FL","33548","2025","32","32","0"
"Condominium Project","23","PR1P025084","VILLA ENCANTADA CONDO NO. 1","SW 137TH AVE & SW 157ND ST","","MIAMI","FL","33177","2025","136","136","0"
"Condominium Project","23","PR1P025084","VILLA ENCANTADA CONDO NO. 1","SW 137TH AVE & SW 157ND ST","","MIAMI","FL","33177","2026","136","136","0"
"Condominium Project","23","PR1P025084","VILLA ENCANTADA CONDO NO. 1","SW 137TH AVE & SW 157ND ST","","MIAMI","FL","33177","2024","136","136","0"
"Condominium Project","23","PR1P025084","VILLA ENCANTADA CONDO NO. 1","SW 137TH AVE & SW 157ND ST","","MIAMI","FL","33177","2022","136","149.6","0"
"Condominium Project","23","PR1P025084","VILLA ENCANTADA CONDO NO. 1","SW 137TH AVE & SW 157ND ST","","MIAMI","FL","33177","2023","136","136","0"
"Condominium Project","23","PR1P025114","VILLA ENCANTADA CONDO NO. 2","SW 137TH AVE & SW 157ND ST","","MIAMI","FL","33177","2023","96","96","0"
"Condominium Project","23","PR1P025114","VILLA ENCANTADA CONDO NO. 2","SW 137TH AVE & SW 157ND ST","","MIAMI","FL","33177","2022","96","96","0"
"Condominium Project","23","PR1P025114","VILLA ENCANTADA CONDO NO. 2","SW 137TH AVE & SW 157ND ST","","MIAMI","FL","33177","2024","96","96","0"
"Condominium Project","23","PR1P025114","VILLA ENCANTADA CONDO NO. 2","SW 137TH AVE & SW 157ND ST","","MIAMI","FL","33177","2026","96","96","0"
"Condominium Project","23","PR1P025114","VILLA ENCANTADA CONDO NO. 2","SW 137TH AVE & SW 157ND ST","","MIAMI","FL","33177","2025","96","96","0"
"Condominium Project","23","PR1P025115","VILLA ENCANTADA CONDO NO. 3","SW 137TH AVE & SW 157ND ST","","MIAMI","FL","33177","2025","80","80","0"
"Condominium Project","23","PR1P025115","VILLA ENCANTADA CONDO NO. 3","SW 137TH AVE & SW 157ND ST","","MIAMI","FL","33177","2026","80","80","0"
"Condominium Project","23","PR1P025115","VILLA ENCANTADA CONDO NO. 3","SW 137TH AVE & SW 157ND ST","","MIAMI","FL","33177","2024","80","80","0"
"Condominium Project","23","PR1P025115","VILLA ENCANTADA CONDO NO. 3","SW 137TH AVE & SW 157ND ST","","MIAMI","FL","33177","2022","80","80","0"
"Condominium Project","23","PR1P025115","VILLA ENCANTADA CONDO NO. 3","SW 137TH AVE & SW 157ND ST","","MIAMI","FL","33177","2023","80","80","0"
"Condominium Project","21","PR69096","VILLA ENSENADA, A CONDO","1102 CLAM COURT","","NAPLES","FL","34102","2022","36","36","0"
"Condominium Project","21","PR69096","VILLA ENSENADA, A CONDO","1102 CLAM COURT","","NAPLES","FL","34102","2023","36","36","0"
"Condominium Project","21","PR69096","VILLA ENSENADA, A CONDO","1102 CLAM COURT","","NAPLES","FL","34102","2024","36","36","0"
"Condominium Project","21","PR69096","VILLA ENSENADA, A CONDO","1102 CLAM COURT","","NAPLES","FL","34102","2025","36","36","0"
"Condominium Project","21","PR69096","VILLA ENSENADA, A CONDO","1102 CLAM COURT","","NAPLES","FL","34102","2026","36","36","0"
"Condominium Project","18","PR1U015092","VILLA ESTA I, A CONDO","SAN CRISTOBAL AVENUE","","PORT CHARLOTTE","FL","33952","2022","40","40","0"
"Condominium Project","18","PR1U015092","VILLA ESTA I, A CONDO","SAN CRISTOBAL AVENUE","","PORT CHARLOTTE","FL","33952","2023","40","40","0"
"Condominium Project","18","PR1U015092","VILLA ESTA I, A CONDO","SAN CRISTOBAL AVENUE","","PORT CHARLOTTE","FL","33952","2025","40","40","0"
"Condominium Project","18","PR1U015092","VILLA ESTA I, A CONDO","SAN CRISTOBAL AVENUE","","PORT CHARLOTTE","FL","33952","2026","40","40","0"
"Condominium Project","18","PR1U015092","VILLA ESTA I, A CONDO","SAN CRISTOBAL AVENUE","","PORT CHARLOTTE","FL","33952","2024","40","40","0"
"Condominium Project","18","PR1U015091","VILLA ESTA II, A CONDO","EXPLORER ROAD","","PORT CHARLOTTE","FL","33952","2024","48","0","52.8"
"Condominium Project","18","PR1U015091","VILLA ESTA II, A CONDO","EXPLORER ROAD","","PORT CHARLOTTE","FL","33952","2026","48","158.88","-110.88"
"Condominium Project","18","PR1U015091","VILLA ESTA II, A CONDO","EXPLORER ROAD","","PORT CHARLOTTE","FL","33952","2025","48","0","58.08"
"Condominium Project","18","PR1U015091","VILLA ESTA II, A CONDO","EXPLORER ROAD","","PORT CHARLOTTE","FL","33952","2023","48","48","0"
"Condominium Project","18","PR1U015091","VILLA ESTA II, A CONDO","EXPLORER ROAD","","PORT CHARLOTTE","FL","33952","2022","48","48","0"
"Condominium Project","18","PR1U015093","VILLA ESTA III, A CONDO","1203 SAXONY CIRCLE","UNITS A, B, C, D","PORT CHARLOTTE","FL","33952","2022","","",""
"Condominium Project","18","PR1U015093","VILLA ESTA III, A CONDO","1203 SAXONY CIRCLE","UNITS A, B, C, D","PORT CHARLOTTE","FL","33952","2023","","",""
"Condominium Project","18","PR1U015093","VILLA ESTA III, A CONDO","1203 SAXONY CIRCLE","UNITS A, B, C, D","PORT CHARLOTTE","FL","33952","2025","","",""
"Condominium Project","18","PR1U015093","VILLA ESTA III, A CONDO","1203 SAXONY CIRCLE","UNITS A, B, C, D","PORT CHARLOTTE","FL","33952","2026","","",""
"Condominium Project","18","PR1U015093","VILLA ESTA III, A CONDO","1203 SAXONY CIRCLE","UNITS A, B, C, D","PORT CHARLOTTE","FL","33952","2024","","",""
"Condominium Project","18","PR1S019871","VILLA ESTA IV, A CONDO","26186 NORTHEN CROSS ROAD","","PORT CHARLOTTE","FL","33983","2026","16","16","0"
"Condominium Project","18","PR1S019871","VILLA ESTA IV, A CONDO","26186 NORTHEN CROSS ROAD","","PORT CHARLOTTE","FL","33983","2025","16","16","0"
"Condominium Project","18","PR1S019871","VILLA ESTA IV, A CONDO","26186 NORTHEN CROSS ROAD","","PORT CHARLOTTE","FL","33983","2023","16","16","0"
"Condominium Project","18","PR1S019871","VILLA ESTA IV, A CONDO","26186 NORTHEN CROSS ROAD","","PORT CHARLOTTE","FL","33983","2022","16","16","0"
"Condominium Project","18","PR1S019871","VILLA ESTA IV, A CONDO","26186 NORTHEN CROSS ROAD","","PORT CHARLOTTE","FL","33983","2024","16","16","0"
"Condominium Project","60","PR1V002647","VILLA ESTO, A CONDO","4300 N.W. 3RD AVENUE","","BOCA RATON","FL","334314784","2024","48","48","0"
"Condominium Project","60","PR1V002647","VILLA ESTO, A CONDO","4300 N.W. 3RD AVENUE","","BOCA RATON","FL","334314784","2022","48","48","0"
"Condominium Project","60","PR1V002647","VILLA ESTO, A CONDO","4300 N.W. 3RD AVENUE","","BOCA RATON","FL","334314784","2023","48","52.8","0"
"Condominium Project","60","PR1V002647","VILLA ESTO, A CONDO","4300 N.W. 3RD AVENUE","","BOCA RATON","FL","334314784","2026","48","100.8","-52.8"
"Condominium Project","60","PR1V002647","VILLA ESTO, A CONDO","4300 N.W. 3RD AVENUE","","BOCA RATON","FL","334314784","2025","48","0","52.8"
"Condominium Project","60","PR1S023806","VILLA FIORENTINA, A CONDO","336 AND 340 COCOANUT ROW","","PALM BEACH","FL","33480","2025","","",""
"Condominium Project","60","PR1S023806","VILLA FIORENTINA, A CONDO","336 AND 340 COCOANUT ROW","","PALM BEACH","FL","33480","2026","","",""
"Condominium Project","60","PR1S023806","VILLA FIORENTINA, A CONDO","336 AND 340 COCOANUT ROW","","PALM BEACH","FL","33480","2024","","",""
"Condominium Project","60","PR1S023806","VILLA FIORENTINA, A CONDO","336 AND 340 COCOANUT ROW","","PALM BEACH","FL","33480","2023","","",""
"Condominium Project","60","PR1S023806","VILLA FIORENTINA, A CONDO","336 AND 340 COCOANUT ROW","","PALM BEACH","FL","33480","2022","","",""
"Condominium Project","21","PR1S026272","VILLA FIRENZE, A CONDO","9853 N TAMIAMI TRAIL #218","","NAPLES","FL","34108","2022","28","28","0"
"Condominium Project","21","PR1S026272","VILLA FIRENZE, A CONDO","9853 N TAMIAMI TRAIL #218","","NAPLES","FL","34108","2024","28","28","0"
"Condominium Project","21","PR1S026272","VILLA FIRENZE, A CONDO","9853 N TAMIAMI TRAIL #218","","NAPLES","FL","34108","2023","28","28","0"
"Condominium Project","21","PR1S026272","VILLA FIRENZE, A CONDO","9853 N TAMIAMI TRAIL #218","","NAPLES","FL","34108","2026","28","28","0"
"Condominium Project","21","PR1S026272","VILLA FIRENZE, A CONDO","9853 N TAMIAMI TRAIL #218","","NAPLES","FL","34108","2025","28","28","0"
"Condominium Project","16","PR70177","VILLA FLORA CONDO","3020 NW 125TH AVENUE","","SUNRISE","FL","33323","2022","208","251.68","0"
"Condominium Project","16","PR70177","VILLA FLORA CONDO","3020 NW 125TH AVENUE","","SUNRISE","FL","33323","2023","208","208","0"
"Condominium Project","16","PR70177","VILLA FLORA CONDO","3020 NW 125TH AVENUE","","SUNRISE","FL","33323","2024","208","208","0"
"Condominium Project","16","PR70177","VILLA FLORA CONDO","3020 NW 125TH AVENUE","","SUNRISE","FL","33323","2025","208","0","228.8"
"Condominium Project","16","PR70177","VILLA FLORA CONDO","3020 NW 125TH AVENUE","","SUNRISE","FL","33323","2026","208","436.8","-228.8"
"Condominium Project","23","PR1S026641","VILLA FLORINI, A CONDO","101 SIDONIA AVE","","CORAL GABLES","FL","33134","2025","152","152","0"
"Condominium Project","23","PR1S026641","VILLA FLORINI, A CONDO","101 SIDONIA AVE","","CORAL GABLES","FL","33134","2026","152","152","0"
"Condominium Project","23","PR1S026641","VILLA FLORINI, A CONDO","101 SIDONIA AVE","","CORAL GABLES","FL","33134","2023","152","183.92","0"
"Condominium Project","23","PR1S026641","VILLA FLORINI, A CONDO","101 SIDONIA AVE","","CORAL GABLES","FL","33134","2024","152","202.31","0"
"Condominium Project","23","PR1S026641","VILLA FLORINI, A CONDO","101 SIDONIA AVE","","CORAL GABLES","FL","33134","2022","152","167.2","0"
"Condominium Project","16","PR71806","VILLA GARCEZ CONDO","2040- 2050 NW 89TH AVE","","PEMBROKE PINES","FL","33024","2022","104","104","0"
"Condominium Project","16","PR71806","VILLA GARCEZ CONDO","2040- 2050 NW 89TH AVE","","PEMBROKE PINES","FL","33024","2023","104","104","0"
"Condominium Project","16","PR71806","VILLA GARCEZ CONDO","2040- 2050 NW 89TH AVE","","PEMBROKE PINES","FL","33024","2024","104","114.4","0"
"Condominium Project","16","PR71806","VILLA GARCEZ CONDO","2040- 2050 NW 89TH AVE","","PEMBROKE PINES","FL","33024","2025","104","125.84","0"
"Condominium Project","16","PR71806","VILLA GARCEZ CONDO","2040- 2050 NW 89TH AVE","","PEMBROKE PINES","FL","33024","2026","","",""
"Condominium Project","23","PR1V026304","VILLA GATSBY CONDO","928 EUCLID AVE","","MIAMI BEACH","FL","33139","2022","32","35.2","0"
"Condominium Project","23","PR1V026304","VILLA GATSBY CONDO","928 EUCLID AVE","","MIAMI BEACH","FL","33139","2023","32","32","0"
"Condominium Project","23","PR1V026304","VILLA GATSBY CONDO","928 EUCLID AVE","","MIAMI BEACH","FL","33139","2024","32","32","0"
"Condominium Project","23","PR1V026304","VILLA GATSBY CONDO","928 EUCLID AVE","","MIAMI BEACH","FL","33139","2026","","",""
"Condominium Project","23","PR1V026304","VILLA GATSBY CONDO","928 EUCLID AVE","","MIAMI BEACH","FL","33139","2025","32","32","0"
"Condominium Project","39","PR1S019484","VILLA GLEN CONDO","603 SOUTH GLEN AVENUE","","TAMPA","FL","33609","2026","","",""
"Condominium Project","39","PR1S019484","VILLA GLEN CONDO","603 SOUTH GLEN AVENUE","","TAMPA","FL","33609","2025","16","16","0"
"Condominium Project","39","PR1S019484","VILLA GLEN CONDO","603 SOUTH GLEN AVENUE","","TAMPA","FL","33609","2024","16","16","0"
"Condominium Project","39","PR1S019484","VILLA GLEN CONDO","603 SOUTH GLEN AVENUE","","TAMPA","FL","33609","2023","16","16","0"
"Condominium Project","39","PR1S019484","VILLA GLEN CONDO","603 SOUTH GLEN AVENUE","","TAMPA","FL","33609","2022","16","16","0"
"Condominium Project","18","PR71965","VILLA GRANDE AT BURNT STORE ISLES, A CONDO","MONACO & ALBACETE","","PUNTA GORDA","FL","33950","2022","176","176","0"
"Condominium Project","18","PR71965","VILLA GRANDE AT BURNT STORE ISLES, A CONDO","MONACO & ALBACETE","","PUNTA GORDA","FL","33950","2023","176","176","0"
"Condominium Project","18","PR71965","VILLA GRANDE AT BURNT STORE ISLES, A CONDO","MONACO & ALBACETE","","PUNTA GORDA","FL","33950","2024","176","176","0"
"Condominium Project","18","PR71965","VILLA GRANDE AT BURNT STORE ISLES, A CONDO","MONACO & ALBACETE","","PUNTA GORDA","FL","33950","2025","176","176","0"
"Condominium Project","18","PR71965","VILLA GRANDE AT BURNT STORE ISLES, A CONDO","MONACO & ALBACETE","","PUNTA GORDA","FL","33950","2026","176","176","0"
"Condominium Project","46","PR1S013054","VILLA GRANDE I CONDO","912 S.E. 46TH STREET","","CAPE CORAL","FL","339048858","2025","24","24","0"
"Condominium Project","46","PR1S013054","VILLA GRANDE I CONDO","912 S.E. 46TH STREET","","CAPE CORAL","FL","339048858","2026","24","24","0"
"Condominium Project","46","PR1S013054","VILLA GRANDE I CONDO","912 S.E. 46TH STREET","","CAPE CORAL","FL","339048858","2022","24","24","0"
"Condominium Project","46","PR1S013054","VILLA GRANDE I CONDO","912 S.E. 46TH STREET","","CAPE CORAL","FL","339048858","2023","24","24","0"
"Condominium Project","46","PR1S013054","VILLA GRANDE I CONDO","912 S.E. 46TH STREET","","CAPE CORAL","FL","339048858","2024","24","24","0"
"Condominium Project","46","PR1S013055","VILLA GRANDE II CONDO","1106 S.E. 46TH STREET","","CAPE CORAL","FL","339048862","2024","32","32","0"
"Condominium Project","46","PR1S013055","VILLA GRANDE II CONDO","1106 S.E. 46TH STREET","","CAPE CORAL","FL","339048862","2023","32","32","0"
"Condominium Project","46","PR1S013055","VILLA GRANDE II CONDO","1106 S.E. 46TH STREET","","CAPE CORAL","FL","339048862","2022","32","32","0"
"Condominium Project","46","PR1S013055","VILLA GRANDE II CONDO","1106 S.E. 46TH STREET","","CAPE CORAL","FL","339048862","2026","32","32","0"
"Condominium Project","46","PR1S013055","VILLA GRANDE II CONDO","1106 S.E. 46TH STREET","","CAPE CORAL","FL","339048862","2025","32","32","0"
"Condominium Project","18","PR77031","VILLA GRANDE OF BURNT STORE ISLES II, A CONDO","ALBACETE CIR","","PUNTA GORDA","FL","33950","2022","16","19.36","0"
"Condominium Project","18","PR77031","VILLA GRANDE OF BURNT STORE ISLES II, A CONDO","ALBACETE CIR","","PUNTA GORDA","FL","33950","2023","16","16","0"
"Condominium Project","18","PR77031","VILLA GRANDE OF BURNT STORE ISLES II, A CONDO","ALBACETE CIR","","PUNTA GORDA","FL","33950","2024","16","16","0"
"Condominium Project","18","PR77031","VILLA GRANDE OF BURNT STORE ISLES II, A CONDO","ALBACETE CIR","","PUNTA GORDA","FL","33950","2025","16","16","0"
"Condominium Project","18","PR77031","VILLA GRANDE OF BURNT STORE ISLES II, A CONDO","ALBACETE CIR","","PUNTA GORDA","FL","33950","2026","16","16","0"
"Condominium Project","23","PR1V025456","VILLA GRANDE, A CONDO","13850 SW 62ND ST & 6300 SW 138","","MIAMI","FL","33183","2023","600","600","0"
"Condominium Project","23","PR1V025456","VILLA GRANDE, A CONDO","13850 SW 62ND ST & 6300 SW 138","","MIAMI","FL","33183","2022","600","600","0"
"Condominium Project","23","PR1V025456","VILLA GRANDE, A CONDO","13850 SW 62ND ST & 6300 SW 138","","MIAMI","FL","33183","2025","600","600","0"
"Condominium Project","23","PR1V025456","VILLA GRANDE, A CONDO","13850 SW 62ND ST & 6300 SW 138","","MIAMI","FL","33183","2026","600","600","0"
"Condominium Project","23","PR1V025456","VILLA GRANDE, A CONDO","13850 SW 62ND ST & 6300 SW 138","","MIAMI","FL","33183","2024","600","600","0"
"Condominium Project","23","PR1S026181","VILLA ISABELLA CONDO","310 TO 326 MADEIRA AVE","","CORAL GABLES","FL","33134","2024","116","116","0"
"Condominium Project","23","PR1S026181","VILLA ISABELLA CONDO","310 TO 326 MADEIRA AVE","","CORAL GABLES","FL","33134","2026","116","116","0"
"Condominium Project","23","PR1S026181","VILLA ISABELLA CONDO","310 TO 326 MADEIRA AVE","","CORAL GABLES","FL","33134","2025","116","116","0"
"Condominium Project","23","PR1S026181","VILLA ISABELLA CONDO","310 TO 326 MADEIRA AVE","","CORAL GABLES","FL","33134","2022","116","116","0"
"Condominium Project","23","PR1S026181","VILLA ISABELLA CONDO","310 TO 326 MADEIRA AVE","","CORAL GABLES","FL","33134","2023","116","116","0"
"Condominium Project","23","PR74169","VILLA JARDIN I CONDO","5513 NE MIAMI PLACE","","MIAMI","FL","33137","2022","56","56","0"
"Condominium Project","23","PR74169","VILLA JARDIN I CONDO","5513 NE MIAMI PLACE","","MIAMI","FL","33137","2023","56","61.6","0"
"Condominium Project","23","PR74169","VILLA JARDIN I CONDO","5513 NE MIAMI PLACE","","MIAMI","FL","33137","2024","56","56","0"
